Overgrow,Ground/Water/Electric/Fire/Ice,5
Buffer,Ground/Water/Electric/Fire/Ice,220
Overflow,Ground/Water/Electric/Fire/Ice,9
BoneClub,Ground,4
Spikes,Ground,17
SandAttack,Ground/Electric,17
Magnitude,Ground/Fire,4
Hail,Ice/Water,12
Haze,Ice,13
IcicleSpear,Ice/Ground,18
IceBurn,Ice/Fire,19
Mist,Ice/Fire/Water,6
Ember,Fire,7
Inferno,Fire,10
Sun,Fire/Electric,4
Charge,Electric,22
FireRod,Fire/Electric,22
FireBall,Fire,6
LavaSurge,Fire/Electric,16
Erruption,Fire,16
Rage,Fire/Electric,20
FireSpin,Fire,18
WaterWall,Water/Ground,4
Water,Water,15
WaterAbsorb,Water/Ground,17
WaterSurge,Water,13
BoilingWater,Water/Ice,23
WaterBall,Water/Ground,16
WaterCannon,Water/Ice,21
LightningBolt,Electric,11
LightningBeam,Electric,16
RisingVoltage,Electric,4
ElectricCurrent,Electric,6
StoneWall,Ground,10
Dig,Ground,5
Earthquake,Ground,15
Drill,Ground,22
IceBolt,Ice,7
ColdWater,Ice,12
IceShard,Ice,17
Glacier,Ice,16
FireWall,Fire,6
